Grapheme	IPA
̪ũ	u ∼
ũ	u ∼
ú	!ú/u
̪ṹ	!̪ṹ/u ∼
u	u
̪u	u
̺u	u
ṹ	!ṹ/u ∼
á	!á/a
ã́	!ã́/a ∼
ã	a ∼
a	a
̪a	a
̺a	a
̪ã	!̪ã/a ∼
̪ã́	!̪ã́/a ∼
i	i
í	!í/i
̺í	!̺í/i
̪i	i
ɨ̃	ɨ ∼
̺i	i
̪ĩ́	!̪ĩ́/i ∼
ĩ́	!ĩ́/i ∼
ĩ	!ĩ/i ∼
̪ĩ	!̪ĩ/i ∼
ɨ́	!ɨ́/i
̪ɨ̃	!̪ɨ̃/ɨ ∼
̪ɨ̃́	!̪ɨ̃́/ɨ ∼
̪ɨ	ɨ
ɨ	ɨ
̪e	e
ẽ	e ∼
̺e	e
e	e
e̥	e
̪é	!̪é/e
é	!é/e
̪ẽ́	!̪ẽ́/e ∼
̺ẽ	!̺ẽ/e ∼
ẽ́	!ẽ́/e ∼
d	d
d̺ɨ	d ɨ
b	b
n	n
ɲ	ɲ
t	t
k	k
kʷ	kʷ
kᶭ	k ɰ
fʷ	fʷ
f	f
hʷ	hʷ
dʷ	dʷ
ɰ	ɰ
s	s
tʃ	tʃ
ʧ	tʃ
dʒ	dʒ
ʤ	dʒ
l	l
ɾ	ɾ
ɹ	ɹ
h	h
j	j
w	w
m	m
s̪í	s !̪í/i
s̪ú	s !̪ú/u
l̪ú	l !̪u/u
d̺á	d !̺á/a
d̺ã	d !̺ã/a ∼
d̺ú	d !̺ú/u
d̪ú	d !̪ú/u
ɹ̺ú	ɹ !̺ú/u
d̺ĩ	d !̺ĩ/i ∼
d̺í́	d !̺í́/i
d̺ʷa	dʷ !̺a/a
t̪uʰ	t !̪uʰ/u
t̪ú	t !̪ú/u
t̪í	t !̪í/i
t̪ɨ́	t !̪ɨ́/ɨ
t̪á	t !̪á/a
n̪ẽ	n !̪ẽ/e ∼
uʰ	!uʰ/u
iʰ	!iʰ/i
aʰ	!aʰ/a
ɨʰ	!ɨʰ/ɨ
n̪ẽʰ	n !̪ẽʰ/e ∼
n̪ẽ́	n !̪ẽ́/e ∼
n̪á	n !̪á/a
̪ɨ̃ʰ	!̪ɨ̃ʰ/ɨ ∼
̪eʰ	!̪eʰ/e
̪ũʰ	!̪ũʰ/u ∼
̪t̪ú	!̪t/t !̪ú/u
ĩʰt̪í	!ĩʰ/i ∼ t !̪í/i
ɾ̺aʰt̪í	ɾ !̺aʰ/a t !̪í/i
iʲ	i j
úʷ	!ú/u w
̺ɨ́ᶭ	!̺ɨ́/ɨ ɰ
ɨᶭá	ɨ ɰ !á/a
ɨᶭé	ɨ ɰ !é/e
̪uʷ	!̪u/u w
̪ɨ̃ᶭ	!̪ɨ̃/ɨ ∼ ɰ
̺iʲ	!̺i/i j
ɨᶭɨ́	ɨ ɰ !ɨ́/ɨ
̺uʷe	!̺u/u w e
̺ɨ́ᶭa	!̺ɨ́/ɨ ɰ a
d̺ɨ́ᶭa	d !̺ɨ́/ɨ ɰ a
ɨ́ᶭa	!ɨ́/ɨ ɰ a
ɨᶭa	ɨ ɰ a
uʷa	u w a
uʷá	u w !á/a
uʷe	u w e
aʲɲ	!aʲ/a j ɲ
