ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment,Partial_Cognacy,Borrowing,Morphemes,GroupedSounds
Iquito-1_allofanumber-1,,Iquito,1_allofanumber,pɨyɨ́ɨni,pɨyɨ́ɨni,p ɨ j ɨː n i,all,Michael2022,20,,,,p ɨ j ɨː n i,43,,,"['p', 'ɨ', 'j', 'ɨː', 'n', 'i']"
Iquito-2_and-1,,Iquito,2_and,músati,músati,m u s a t i,and,Michael2022,31,,,,m u s a t i,67,,,"['m', 'u', 's', 'a', 't', 'i']"
Iquito-3_animal-1,,Iquito,3_animal,tasiitáani,tasiitáani,t a s iː t aː n i,animal,Michael2022,43,,,,t a s iː t aː n i,86,,,"['t', 'a', 's', 'iː', 't', 'aː', 'n', 'i']"
Iquito-4_ashes-1,,Iquito,4_ashes,pukiti,pukiti,p u k i t i,ash,Michael2022,58,,,,p u k i t i,107,,,"['p', 'u', 'k', 'i', 't', 'i']"
Iquito-5_at-1,,Iquito,5_at,=jina,=jina,h i n a,at,Michael2022,73,,,,h i n a,132,,,"['h', 'i', 'n', 'a']"
Iquito-6_backpersons-1,,Iquito,6_backpersons,jiwíriku,jiwíriku,h i w i r i + k u,back,Michael2022,83,,,,h i w i r i + k u,153 18,,,"['h', 'i', 'w', 'i', 'r', 'i', '+', 'k', 'u']"
Iquito-7_baddeleteriousorunsuitable-1,,Iquito,7_baddeleteriousorunsuitable,sɨɨ́sana,sɨɨ́sana,s ɨː s a + n a,None,Michael2022,103,,,,s ɨː s a + n a,19 20,,,"['s', 'ɨː', 's', 'a', '+', 'n', 'a']"
Iquito-8_bark-1,,Iquito,8_bark,ísɨkɨ,ísɨkɨ,i s ɨ k ɨ,tree bark,Michael2022,127,,,,i s ɨ k ɨ,22,,,"['i', 's', 'ɨ', 'k', 'ɨ']"
Iquito-90_tolive-1,,Iquito,90_tolive,iwíini,iwíini,i w iː n i,live,Michael2022,2552,,,,i w iː n i,4254,,,"['i', 'w', 'iː', 'n', 'i']"
Iquito-9_because-1,,Iquito,9_because,iyaamiaákuji,iyaamiaákuji,i j aː mʲ aː k u h i,because,Michael2022,143,,,,i j aː mʲ aː k u h i,247,,,"['i', 'j', 'aː', 'mʲ', 'aː', 'k', 'u', 'h', 'i']"
Iquito-10_belly-1,,Iquito,10_belly,tanaka,tanaka,t a n a k a,belly,Michael2022,156,,,,t a n a k a,264,,,"['t', 'a', 'n', 'a', 'k', 'a']"
Iquito-12_big-1,,Iquito,12_big,aniita,aniita,a n iː t a,big,Michael2022,187,,,,a n iː t a,316,,,"['a', 'n', 'iː', 't', 'a']"
Iquito-13_bird-1,,Iquito,13_bird,iíwaasi,iíwaasi,iː w aː s i,bird,Michael2022,214,,,,iː w aː s i,355,,,"['iː', 'w', 'aː', 's', 'i']"
Iquito-14_tobite-1,,Iquito,14_tobite,sɨ́ɨni,sɨ́ɨni,s ɨː n i,bite,Michael2022,2182,,,,s ɨː n i,3620,,,"['s', 'ɨː', 'n', 'i']"
Iquito-15_black-1,,Iquito,15_black,sapatina,sapatina,s a p a t i n a,black,Michael2022,241,,,,s a p a t i n a,391,,,"['s', 'a', 'p', 'a', 't', 'i', 'n', 'a']"
Iquito-16_blood-1,,Iquito,16_blood,májaaka,májaaka,m a h aː k a,blood,Michael2022,266,,,,m a h aː k a,423,,,"['m', 'a', 'h', 'aː', 'k', 'a']"
Iquito-17_toblowofwind-1,,Iquito,17_toblowofwind,núuni,núuni,n uː n i,blow or blow on something,Michael2022,2197,,,,n uː n i,3648,,,"['n', 'uː', 'n', 'i']"
Iquito-34_dullknife-1,,Iquito,34_dullknife,tikina,tikina,t i k i n a,rounded or blunt,Michael2022,425,,,,t i k i n a,680,,,"['t', 'i', 'k', 'i', 'n', 'a']"
Iquito-18_bone-1,,Iquito,18_bone,niiki,niiki,n iː k i,bone,Michael2022,285,,,,n iː k i -,468,,,"['n', 'iː', 'k', 'i']"
Iquito-19_tobreathe-1,,Iquito,19_tobreathe,júnɨɨna iríini,júnɨɨna iríini,h u n ɨː n a + i r iː n i,breathe,Michael2022,2218,,,,h u n ɨː n a + i r iː n i - ( - - ),3682 3679,,,"['h', 'u', 'n', 'ɨː', 'n', 'a', '+', 'i', 'r', 'iː', 'n', 'i']"
Iquito-20_toburnintrans-1,,Iquito,20_toburnintrans,núùnì,núùnì,n uː n i,None,Michael2022,2226,,,,n uː n i,3696,,,"['n', 'uː', 'n', 'i']"
Iquito-21_childyoungpersonratherthanasrelationshipterm-1,,Iquito,21_childyoungpersonratherthanasrelationshipterm,maaya,maaya,m aː j a,None,Michael2022,307,,,,m aː j a,505,,,"['m', 'aː', 'j', 'a']"
Iquito-22_cloud-1,,Iquito,22_cloud,anajaka,anajaka,a n a h a k a,cloud or mist,Michael2022,322,,,,a n a h a k a,524,,,"['a', 'n', 'a', 'h', 'a', 'k', 'a']"
Iquito-23_coldofweather-1,,Iquito,23_coldofweather,sɨɨmɨ́ɨtìnà,sɨɨmɨ́ɨtìnà,s ɨː m ɨː t i n a,None,Michael2022,336,,,,s ɨː m ɨː t i n a,547,,,"['s', 'ɨː', 'm', 'ɨː', 't', 'i', 'n', 'a']"
