Doculect	Concept	Form	Note
Juri	abi	imaraín	
Juri	adfer!	irinecu	
Juri	aegroto	tcharichéouki	
Juri	aër	o(a)á	
Juri	albus	háre	
Juri	albus	ahré	
Juri	albus	aâre	mara: Sapibocona et Aymara
Juri	altus	liôko	
Juri	amita	wine	
Juri	anima	mäá	
Juri	anima	meiéa	
Juri	annus (unus)	(ghomea) yuráa	
Juri	anus	yai-yù	
Juri	aqua	o(a)ra	
Juri	aqua	coörá	
Juri	aqua	ghoaraq	
Juri	habesne aquam?	rii	
Juri	arbor	noinlno	
Juri	arbor	noinó	
Juri	arcus	metschépari	Cannot differentiate whether it is /t/ or /l/
Juri	arcus	mechouaí	
Juri	arcus coelestis	yaüü	
Juri	audio	tscho-naenióhnä	
Juri	audio	shaneyune	
Juri	auditus (meus?)	su-íneuma	
Juri	avia	jahuü	
Juri	avis	rhicopy	
Juri	avis	récapu	
Juri	auris	tschu-tinäho	
Juri	auris	su-ineu	
Juri	avunculus	wittae	
Juri	avunculus	wite	
Juri	avus	jahü	
Juri	avus	yay	
Juri	barba	(tch)upéri	Not sure about the first segment
Juri	bibo	tsch-ägóheo	
Juri	bellum gero	tsch-oaroocó	
Juri	brachium (meum)	tsch-uwá	juba: Tupi
Juri	brachium (meum)	súua	
Juri	brachium (meum)	(tcho) uá	
Juri	brevis	nogmó	
Juri	brevis	súohne	
Juri	brevis	erímo	
Juri	calcaneus	su-kiwity	
Juri	calidus, a, um	nóre	
Juri	capillus	tschu-gerüönicó	
Juri	capillus	sukiriuii	
Juri	capillus	tikiriú	
Juri	capio (hostem)	tagogürüretschaáni boá	
Juri	caput	tschu-gerühó	
Juri	caput	su-kiriu	
Juri	caput	(tcho) kireú	
Juri	caro	naí	
Juri	caro	tuóieh	
Juri	cerevisia e granis mais	pinà	
Juri	chorda	nepenöoli	
Juri	cilium	su-ity-ane	
Juri	clavicula	su-punoyno	
Juri	coelum	o(a)	
Juri	coelum	oá	
Juri	coeruleus	tschúhmo	
Juri	coeruleus	pijhro	
Juri	cognatus	suyonu	
Juri	collum	tschu0púnoho	
Juri	collum	suponou	
Juri	connubo	tschanägatité	Not sure if the last consonant is /t/ or /l/
Juri	cor	su-mêniko	
Juri	corbis	coömó	
Juri	corpus	taóbi	toip: Vilela
Juri	corpus	suupy	
Juri	cortex	coinoá	
Juri	costa	suino	
Juri	coxa	tschu-bähma	
Juri	coxa	sokehry	
Juri	crus	tschu-inóo	
Juri	cubitus	tschu-báacki	
Juri	culter	iíno	
Juri	cutis	näimé	
Juri	da mihi	etuwáni ere	
Juri	dens	ti tschäco	
Juri	dens	su-seko	
Juri	dens	(tcha) tikou	
Juri	deus	tupana	
Juri	diabolus	mäa	
Juri	diabolus	meiéa	
Juri	dico, eloquor	tschatscherumá	
Juri	dies	oà	
Juri	dies	oáh	
Juri	digitus	tschu-bomó	
Juri	digitus	su-upumo	
Juri	digiti	(tcho) upeí	
Juri	digit pedis	(tcho) upumorli	
Juri	domus	thünogh	oca: Tupí
Juri	dorsum	tschu-ibaüh	
Juri	durus, a, um	cowní	
Juri	edo	wähaú	
Juri	ego	tshuu	
Juri	ego	súu	
Juri	farina	ahamú	
Juri	farina	omohó	
Juri	femina	tchúre	
