Doculect	Concept	Form
Ocaina	TONGUE	hĩɲṍṍʔɸɯ
Ocaina	MOUTH	ɸooɯ
Ocaina	TOOTH	aʔtiiʔtʲo
Ocaina	NOSE	tʲooɸo
Ocaina	EYE	ohɯ́ɯ́
Ocaina	EAR	xoɲõõ
Ocaina	HEAD	ooʔɸo
Ocaina	NECK	ɲõmã́ã́ʔõ
Ocaina	BELLY	gáɸotʲo
Ocaina	BACK	hɯɯʔxo
Ocaina	BACK	hɯɯʔxomó
Ocaina	HAND	on̥õõ
Ocaina	HAND	on̥õõpo
Ocaina	LEG	odzákona
Ocaina	LEG	odzááβɯna
Ocaina	FOOT	ɯʔjóó
Ocaina	FOOT	ɯʔjóóga
Ocaina	BONE	ɲõʔṍṍʔkoβo
Ocaina	BLOOD	tsihĩ́ĩ́
Ocaina	HEART	xomɯ́ɯ́m̥õti
Ocaina	WOMAN	maami
Ocaina	HUSBAND	õõna
Ocaina	FATHER	mõõ
Ocaina	FATHER	mõõhõ
Ocaina	MOTHER	ɯìɯìdzaʔ
Ocaina	MOTHER	ã́ʔĩʔ
Ocaina	OLD	haʔĩ́ĩ́m̥a
Ocaina	RIVER	maan̥ɯ
Ocaina	RIVER	tʲaaɯ
Ocaina	LAKE	hõʔã́ã́hĩ
Ocaina	FIRE	tʲaaro
Ocaina	SMALL	síítiʔ
Ocaina	SMALL	sóógo
Ocaina	SMALL	tóógo
Ocaina	SMALL	xaβi
Ocaina	GOOD	ɸṍhɯ̃
Ocaina	CLOUD	haʔɸííʔo
Ocaina	CLOUD	haʔɸiʔojíína
Ocaina	CLOUD	tsohóʔɯʔxa
Ocaina	ASH	oʔtiiʔi
Ocaina	SMOKE (EXHAUST)	haʔɸííʔo
Ocaina	SKY	bɯm̥õɲ̥á
Ocaina	SKY	xɯtʲamóóɲ̥a
Ocaina	SKY	aam̥i
Ocaina	WIND	hɯβóódʲo
Ocaina	WIND	hɯβṍṍ
Ocaina	SUN	nɯ́ɯ́na
Ocaina	STAR	oʔxóóʔtʲo
Ocaina	DAY (NOT NIGHT)	mooɲ̥a
Ocaina	DAY (NOT NIGHT)	moɲ̥amó
Ocaina	NIGHT	natʲṍ
Ocaina	EARTH (SOIL)	aɲ̥õõʔɯ̃
Ocaina	STONE	gotɯ́ɯ́ʔxo
Ocaina	SAND	ʤíõõʔĩ
Ocaina	DOG	hõʔxo
Ocaina	TAIL	oʔoo
Ocaina	SNAKE	anɯ̃ʔtʲṍko
Ocaina	SNAKE	gõhṍṍʔĩʔtsi
Ocaina	SNAKE	tʲorooʔo
Ocaina	BIRD	tʲaɸon̥õhɯ̃́ʔ ããʔtsi
Ocaina	BIRD	aɸótsoji
Ocaina	BIRD	dʲáʔiiʔta
Ocaina	SAY	ɯ̃ɯ̃
Ocaina	SAY	ãã
Ocaina	FISH	ĩhããm̥a
Ocaina	LOUSE	oʔɸóóxako
Ocaina	TREE	am̥ɯ̃ɯ̃ɲ̥a
Ocaina	LEAF	opaaβi
Ocaina	FLOWER	tsĩ́ĩ́
Ocaina	RUB	dʲããhɯ̃
Ocaina	RUB	hɯxãã
Ocaina	ROOT	tsiɲĩ́ĩ́ʔõɸe
Ocaina	ROOT	tsiɲ̥ĩ́ĩ́ʔõʔko
Ocaina	SEED	naβiiɲ̥i
Ocaina	STICK	diáátʲa
Ocaina	STICK	dʲatʲooɸo
Ocaina	STICK	am̥ɯ̃ɯ̃ɲ̥a
Ocaina	GRASS	tʲohã́ã́
Ocaina	GRASS	tʲohã́ã́hã
Ocaina	FEATHER	hɯxaaro
Ocaina	SALT	hááidʲa
Ocaina	ONE	tʲa
Ocaina	ONE	maʔ
Ocaina	TWO	han̥aa
Ocaina	TWO	han̥aamaʔ
Ocaina	THREE	han̥ããmaʔtʲáámaʔ
Ocaina	FOUR	nahɯ̃ʔxanó
Ocaina	FIVE	tʲaʔɸɯ́ɯ́ɸoroʔ
Ocaina	I	xõ
Ocaina	I	xõɯ̃
Ocaina	THOU	õ
Ocaina	THOU	õɯ̃
Ocaina	THOU	o
Ocaina	HE	aʔiim̥a
Ocaina	HE	ɯɯm̥a
Ocaina	HE	ĩĩbã
Ocaina	HE	ha
Ocaina	WE	xa
Ocaina	WE	xaho
Ocaina	WE	xo
Ocaina	WE	xoxo
Ocaina	WE	xak
Ocaina	WE	xaka
Ocaina	YOU	mõ
Ocaina	YOU	mõʔto
Ocaina	YOU	mõʔ
Ocaina	YOU	mõʔxo
Ocaina	YOU	mõʔk
Ocaina	THEY	ɯɯsa
Ocaina	THEY	áá
Ocaina	THEY	ɯɯm̥á
Ocaina	THEY	ɯɯká
Ocaina	BIG	óóxɯ
Ocaina	BIG	oxííha
Ocaina	BAD	ɯìɯìra
Ocaina	WHITE	ɸɯrãìãìɲ̥a
Ocaina	BLACK	hɯʔtóóʔɸɯ
Ocaina	THIS	bĩ́ĩ́
Ocaina	THIS	bĩ́hã
Ocaina	THIS	baʔi
Ocaina	THIS	bɯ
Ocaina	THAT	xaʔiim̥a
Ocaina	WHO	bṍ
Ocaina	WHAT	dzoʔ
Ocaina	NOT	ãã́
Ocaina	NOT	ããɲi
Ocaina	NOT	ɲi
Ocaina	NOT	ɲ̥i
Ocaina	ALL	ʧíí
Ocaina	ALL	ʧííβa
Ocaina	ALL	hã́tiʔ
Ocaina	MANY	óóxɯ
Ocaina	LONG	ááɲi
Ocaina	BARK	dʲakã́
Ocaina	BARK	xonɯ́ɯ́ʔka
Ocaina	FLESH OR MEAT	dʲahííʔxa
Ocaina	FLESH OR MEAT	õʔããhĩ
Ocaina	EGG	hṍṍʔto
Ocaina	BELLY	gááho
Ocaina	LIVER	ɸaʔɯ̃́ɯ̃́xo
Ocaina	DRINK	ɲooxo
Ocaina	EAT	dʲaa
Ocaina	EAT	dʲoo
Ocaina	EAT	tsõõʔɲ̥o
Ocaina	EAT	gõõ
Ocaina	EAT	ooxo
Ocaina	BITE	aanɯ̃
Ocaina	WIFE	mɯ̃ʔtõ
Ocaina	THINK	xomɯɯxoʔjáʤi
Ocaina	THINK	ɸaaʔxa
Ocaina	WATER	ɲõõ
Ocaina	WATER	ɲõõhɯ̃
Ocaina	SEE	xaa
Ocaina	HEAR	xaaxa
Ocaina	KNOW (SOMETHING)	ááxa
Ocaina	KNOW (SOMETHING)	ooroha
Ocaina	SLEEP	ɯɯnõ
Ocaina	DIE	ɯrá nɯɯ
Ocaina	DIE	ɲom̥õõbi
Ocaina	KILL	ɯrá ɲa hanɯ́ɯ́ta
Ocaina	SWIM	õõʔõ
Ocaina	FLY (MOVE THROUGH AIR)	dʲaaʔi
Ocaina	WALK	maaxa
Ocaina	COME	aa
Ocaina	COME	ɯɯ
Ocaina	COME	aahi
Ocaina	GIVE	hɯɯʔ
Ocaina	RED	tsííʔo
Ocaina	RED	hããhĩ
Ocaina	GREEN	moxóóso
Ocaina	GREEN	hiááʔo
Ocaina	YELLOW	bóóra
Ocaina	NEW	hɯʔto
Ocaina	DRY	hã́ã́ʔta
Ocaina	NAME	maam̥ɯ
Ocaina	HOW	dzoʔxáʔmɯ
Ocaina	HOW	dzoʔɸɯɯráʔ
Ocaina	WHERE	dzoo
Ocaina	WHERE	dzõõ
Ocaina	WHERE	dzõõʔ
Ocaina	WHEN	dzoʔkã
Ocaina	WHEN	dzoʔaa
Ocaina	HERE	bá
Ocaina	HERE	bɯ̃́
Ocaina	THERE	tʲãã
Ocaina	THERE	dziráhɯ̃ʔ
Ocaina	OTHER	aɲ̥ii
Ocaina	FEW	síítiʔ
Ocaina	FEW	sóógo
Ocaina	FEW	tóógo
Ocaina	FEW	xaβĩʔ
Ocaina	FLOW	dzooro
Ocaina	FLOW	dzooɯ
Ocaina	SEA	maan̥ɯ
Ocaina	WET	hááhi
Ocaina	WASH	hoxootɯ
Ocaina	WORM	agɯɯma
Ocaina	WORM	ɯ̃ɯ̃ko
Ocaina	WORM	hɯdzaako
Ocaina	WING	ɸõn̥ṍṍβɯka
Ocaina	WITH	mɯ̃ɯ̃ʔto
Ocaina	WITH	hɯ̃́
Ocaina	WITH	ʔ
Ocaina	IN	haa
Ocaina	IN	hadʲa
Ocaina	CHILD (YOUNG HUMAN)	xaβĩĩ
Ocaina	CUT	baaʔ
Ocaina	CUT	saβo
Ocaina	CUT	hɯɯbo
Ocaina	WIDE	aháára
Ocaina	NARROW	iibi
Ocaina	FAR	aan̥ɯ
Ocaina	NEAR	áán̥ɯraʔ
